Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
20000,0.98326176,0.050034184,47.88943488943489,-7.630247211124958,-7.630247211124958,3.843616,0.06916073,0.0002938453,0.19794841,0.004897626,1.0
40000,0.7924967,0.19778849,104.66315789473684,4.217852852268046,4.217852852268046,1.4517725,0.07010399,0.00028215474,0.1940516,0.004703174,1.0
60000,0.74896413,-0.3740114,73.80524344569288,-5.3709086526241085,-5.3709086526241085,0.7784257,0.06750038,0.00026984932,0.18994978,0.0044984925,1.0
80000,0.5506428,-0.26521328,102.21538461538462,-0.9194189921290297,-0.9194189921290297,0.26211688,0.06858427,0.0002575473,0.1858491,0.00429387,1.0
100000,0.4359588,1.0369952,108.67955801104972,10.800461820203934,10.800461820203934,0.09464373,0.065222256,0.0002458593,0.1819531,0.0040994594,1.0
120000,0.3817217,1.2377164,111.909604519774,13.3989269162323,13.3989269162323,0.07765798,0.06924646,0.00023417015,0.17805672,0.0039050293,1.0
140000,0.32385412,1.4782548,119.74698795180723,13.10489599699581,13.10489599699581,0.046084583,0.07195673,0.00022186534,0.17395511,0.0037003593,1.0
160000,0.2732864,1.3755356,125.83544303797468,13.578608048407808,13.578608048407808,0.025123805,0.070751086,0.00020955972,0.16985321,0.0034956757,1.0
180000,0.23390286,1.2718109,125.5253164556962,13.579548940805223,13.579548940805223,0.019878041,0.067273624,0.00019786993,0.16595663,0.0033012354,1.0
200000,0.21419083,1.2585623,125.77707006369427,13.578701120747882,13.578701120747882,0.015800396,0.06773098,0.00018617857,0.1620595,0.003106769,1.0
220000,0.19274049,1.2246487,126.11392405063292,13.57749418968547,13.57749418968547,0.012917253,0.0677623,0.00017387207,0.15795735,0.0029020712,1.0
240000,0.26282358,1.1641153,122.9074074074074,12.76843114228491,12.76843114228491,0.04183156,0.06538912,0.000161565,0.15385498,0.002697363,1.0
260000,0.30929598,0.77158344,118.49101796407186,8.333437521088712,8.333437521088712,0.067079164,0.068165764,0.00014987306,0.14995766,0.0025028875,1.0
280000,0.2877819,1.034174,118.46706586826348,11.32943289925433,11.32943289925433,0.057346545,0.06281096,0.0001381838,0.14606126,0.0023084558,1.0
300000,0.254189,1.1612395,117.88690476190476,12.652762156622927,12.652762156622927,0.064780995,0.06655255,0.00012587628,0.14195874,0.002103741,1.0
320000,0.23848854,1.2885367,114.83815028901734,13.268366344456124,13.268366344456124,0.020684913,0.06632872,0.00011356934,0.13785642,0.0018990353,1.0
340000,0.20938782,1.3005446,114.43352601156069,13.385275818063,13.385275818063,0.017702006,0.07019273,0.000101876416,0.13395877,0.001704543,1.0
360000,0.18679273,1.333693,114.3103448275862,13.617194917698988,13.617194917698988,0.011651041,0.06743577,9.018224e-05,0.13006072,0.0015100299,1.0
380000,0.20482682,1.2815515,117.31952662721893,13.489051320294246,13.489051320294246,0.0116273295,0.06332793,7.787306e-05,0.12595765,0.0013052871,1.0
400000,0.18083653,1.3088266,114.78612716763006,13.382953821464854,13.382953821464854,0.010549515,0.06897052,6.556809e-05,0.121856,0.0011006144,1.0
420000,0.15311117,1.3736526,112.63428571428571,13.622254166286439,13.622254166286439,0.012370941,0.06368633,5.3881216e-05,0.11796037,0.0009062228,1.0
440000,0.14124478,1.3749088,111.88135593220339,13.624896767596573,13.624896767596573,0.0077596223,0.06613596,4.219023e-05,0.11406338,0.0007117627,1.0
460000,0.142283,1.3813558,112.0677966101695,13.624380744078149,13.624380744078149,0.007483554,0.06959377,2.988165e-05,0.10996052,0.0005070299,1.0
480000,0.1514501,1.3816491,112.11235955056179,13.624256494618152,13.624256494618152,0.007354313,0.067357734,1.7574755e-05,0.10585822,0.00030232518,1.0
500000,0.15214193,1.393147,112.3125,13.623665191348916,13.623665191348916,0.0078958655,0.06590112,5.883097e-06,0.101961,0.00010785388,1.0
